city,location,price,area_sqft,bhk,furnishing,property_age,parking,lift,balcony
Bhavnagar,Sardar Nagar,7102216,1579,3,Fully Furnished,10,1,0,0
Bhavnagar,,2870841,655,1,,5,0,0,0
Bhavnagar,Nilambag,3707833,856,2,Semi-Furnished,5,1,0,1
Bhavnagar,,3083882,699,1,Fully Furnished,,1,0,0
Bhavnagar,Nilambag,3602975,813,2,,,0,1,1
Bhavnagar,Talaja Road,2765448,614,1,Fully Furnished,,0,0,1
Bhavnagar,Talaja Road,4379288,977,2,Fully Furnished,,0,0,0
Bhavnagar,Nilambag,4446345,1027,2,Fully Furnished,,0,0,1
Bhavnagar,,2607932,580,1,Unfurnished,5,0,0,1
Bhavnagar,,3389041,781,2,,,0,1,1
Bhavnagar,,7705917,1745,3,,10,1,0,0
Bhavnagar,Sardar Nagar,2785448,633,1,Semi-Furnished,2,1,0,0
Bhavnagar,Nilambag,2788773,633,1,Unfurnished,,0,0,1
Bhavnagar,Nilambag,3557289,811,2,Semi-Furnished,1,1,0,0
Bhavnagar,Nilambag,2303639,509,1,Fully Furnished,5,0,0,1
Bhavnagar,Sardar Nagar,2478524,572,1,Fully Furnished,10,0,1,1
Bhavnagar,Sardar Nagar,4867416,1104,3,,,0,1,0
Bhavnagar,,3083305,684,1,,1,0,0,1
Bhavnagar,,2840103,647,1,Unfurnished,,1,0,1
Bhavnagar,Sardar Nagar,2110686,472,1,,10,0,0,0
Bhavnagar,Nilambag,3131559,704,2,,,0,0,1
Bhavnagar,Talaja Road,7815196,1799,3,Semi-Furnished,,1,1,1
Bhavnagar,Nilambag,2070460,458,1,,,1,0,1
Bhavnagar,Nilambag,4659609,1028,2,Fully Furnished,,1,1,1
Bhavnagar,Sardar Nagar,2347130,518,1,Unfurnished,1,1,0,1
Bhavnagar,,5164513,,2,Fully Furnished,5,1,0,0
Bhavnagar,,6533069,1493,3,Semi-Furnished,2,0,1,0
Bhavnagar,Talaja Road,8517639,,3,,5,1,1,1
Bhavnagar,Sardar Nagar,2884190,658,1,Semi-Furnished,1,1,0,0
Bhavnagar,Sardar Nagar,5800537,1320,3,Semi-Furnished,,1,0,1
Bhavnagar,,4533827,1020,2,,10,0,1,0
Bhavnagar,,2549773,576,1,Fully Furnished,,0,0,0
Bhavnagar,Nilambag,5125481,1158,3,,,0,0,0
Bhavnagar,Sardar Nagar,3427408,772,2,,,1,1,0
Bhavnagar,Sardar Nagar,1972549,451,1,,,0,0,1
Bhavnagar,,2436256,553,1,Fully Furnished,,1,0,1
Bhavnagar,Talaja Road,3310953,,2,Semi-Furnished,,1,0,1
Bhavnagar,Talaja Road,8453707,1888,3,Semi-Furnished,2,0,1,1
Bhavnagar,Talaja Road,2072079,461,1,,5,0,1,1
Bhavnagar,,7629829,1719,3,Fully Furnished,1,0,0,1
Bhavnagar,Nilambag,5368756,1188,2,,5,0,0,0
Bhavnagar,Sardar Nagar,7337859,,3,Fully Furnished,10,0,0,0
Bhavnagar,Sardar Nagar,2856466,637,1,Fully Furnished,1,0,1,1
Bhavnagar,,2093843,,1,Unfurnished,10,0,0,1
Bhavnagar,,6636449,1524,3,Unfurnished,,0,1,1
Bhavnagar,Nilambag,2685769,607,1,,10,1,0,0
Bhavnagar,Talaja Road,2854092,657,1,Semi-Furnished,2,0,0,0
Bhavnagar,Nilambag,2172041,479,1,,,1,1,0
Bhavnagar,Nilambag,2553571,576,1,Semi-Furnished,,1,1,0
Bhavnagar,,4013536,899,2,,,1,1,1
Bhavnagar,Nilambag,2280547,520,1,Semi-Furnished,10,1,0,1
Bharuch,,3650364,882,2,Semi-Furnished,1,0,0,0
Bharuch,Link Road,6976996,1690,3,Semi-Furnished,,1,0,0
Bharuch,,6016456,1455,3,Unfurnished,,0,0,1
Bharuch,Link Road,7417324,,3,,5,0,1,0
Bharuch,,2674741,642,1,Unfurnished,1,0,1,0
Bharuch,Link Road,2842485,672,1,,,0,0,0
Bharuch,Link Road,2120720,,1,Semi-Furnished,,1,1,1
Bharuch,Zadeshwar,3002258,727,2,,2,1,1,0
Bharuch,,3159400,747,2,Semi-Furnished,10,0,1,0
Bharuch,Ankleshwar,4787590,1149,2,Fully Furnished,,1,0,0
Bharuch,,4375355,1061,2,Fully Furnished,1,1,0,1
Bharuch,,7785508,1825,3,Fully Furnished,1,1,0,1
Bharuch,,7790019,1838,3,Semi-Furnished,,1,1,1
Bharuch,Link Road,5083178,,3,Fully Furnished,,1,1,0
Bharuch,Zadeshwar,2267391,543,1,Semi-Furnished,5,0,1,1
Bharuch,Ankleshwar,7326250,1720,3,,1,0,0,0
Bharuch,Ankleshwar,4937288,1180,3,,10,0,0,0
Bharuch,,2185102,,1,,,0,0,1
Bharuch,Link Road,1949175,462,1,Fully Furnished,,1,0,0
Bharuch,Zadeshwar,3735537,875,2,,5,1,0,0
Bharuch,Link Road,3636074,877,2,Fully Furnished,2,0,0,1
Bharuch,Zadeshwar,8465685,1972,3,Fully Furnished,,0,0,1
Bharuch,Zadeshwar,6279899,1500,3,,,1,0,1
Bharuch,Zadeshwar,2324971,562,1,Semi-Furnished,,1,0,0
Bharuch,,7624802,,3,,,0,1,1
Bharuch,,3948534,917,2,Semi-Furnished,10,0,1,1
Bharuch,Link Road,2179064,527,1,Fully Furnished,1,1,1,0
Bharuch,Link Road,2065114,,1,Semi-Furnished,10,0,1,0
Bharuch,,3908187,931,2,Unfurnished,1,1,1,1
Bharuch,,3308596,767,2,Unfurnished,10,0,0,1
Bharuch,Zadeshwar,2351682,569,1,,,1,1,1
Bharuch,,6326895,1503,3,Fully Furnished,5,0,0,1
Bharuch,Link Road,5081744,1187,2,Fully Furnished,2,1,1,0
Bharuch,,4824686,1117,2,Fully Furnished,,1,0,0
Bharuch,,2131778,495,1,Semi-Furnished,,1,1,1
Bharuch,Link Road,6055869,,3,Unfurnished,2,1,1,1
Bharuch,Link Road,2157922,513,1,,2,0,0,0
Bharuch,Link Road,3752247,891,2,,,1,0,0
Bharuch,Zadeshwar,7814846,1871,3,Fully Furnished,,0,1,0
Bharuch,,2975852,721,2,,2,1,1,1
Bharuch,,3951816,928,2,,1,1,1,1
Bharuch,Ankleshwar,6203198,1451,3,Unfurnished,,1,0,1
Bharuch,Ankleshwar,4066291,976,2,Semi-Furnished,,1,0,0
Bharuch,Link Road,2947447,,1,Semi-Furnished,,1,1,0
Bharuch,Zadeshwar,5917768,1381,3,Unfurnished,5,0,0,0
Bharuch,Zadeshwar,3779913,903,2,,,1,1,0
Bharuch,Link Road,2035496,493,1,Semi-Furnished,2,1,0,0
Bharuch,Link Road,3243693,757,2,Fully Furnished,,0,0,1
Bharuch,,3896871,936,2,Semi-Furnished,,1,1,1
Bharuch,,2575926,597,1,,1,0,1,1
Bharuch,Ankleshwar,2198212,528,1,,2,1,1,0
Bharuch,Zadeshwar,2348008,563,1,,1,1,1,1
Bharuch,Ankleshwar,2849261,669,1,Unfurnished,2,0,0,1
Bharuch,,2232932,,1,Semi-Furnished,,1,1,0
Bharuch,Link Road,4911589,1177,2,,,0,1,1
Bharuch,Zadeshwar,2173339,,1,,1,0,1,1
Bharuch,Zadeshwar,2186844,515,1,Fully Furnished,2,1,1,0
Bharuch,Ankleshwar,2750724,638,1,,5,0,1,1
Bharuch,Zadeshwar,2987670,695,1,Fully Furnished,,0,0,0
Bharuch,Zadeshwar,5126505,1194,2,Unfurnished,2,1,1,0
Bharuch,Link Road,3959390,926,2,Fully Furnished,1,1,0,1
Bharuch,Ankleshwar,2776961,663,1,Fully Furnished,,1,0,0
Bharuch,,2131456,502,1,,10,1,1,0
Bharuch,,4838187,1136,2,Fully Furnished,,1,0,1
Bharuch,,4850342,1138,3,,,1,0,1
Bharuch,,3868501,918,2,Semi-Furnished,,1,0,1
Bharuch,Link Road,2797935,658,1,Unfurnished,,1,1,1
Bharuch,Link Road,2197572,522,1,,1,0,1,1
Bharuch,Link Road,6238222,1458,3,Unfurnished,,0,0,1
Bharuch,Link Road,6122172,1485,3,Unfurnished,,1,1,0
Bharuch,Link Road,2130267,516,1,Unfurnished,2,1,1,0
Bharuch,,3411976,812,2,Fully Furnished,2,0,0,0
Bharuch,Ankleshwar,3449323,814,2,Fully Furnished,2,0,1,0
Bharuch,Zadeshwar,2963065,697,1,,10,1,0,0
Bharuch,,3121016,739,2,Fully Furnished,,1,0,1
Bharuch,,6326832,1471,3,,1,0,1,0
Bharuch,,4748269,,2,,2,1,1,0
Bharuch,,2524774,610,1,Unfurnished,1,0,0,0
Bharuch,Ankleshwar,2697142,636,1,Fully Furnished,,1,0,0
Bharuch,,4975890,1185,2,Unfurnished,1,0,0,0
Bharuch,,2850856,667,1,Unfurnished,2,0,0,1
Bharuch,Ankleshwar,7446063,1724,3,,1,1,1,0
Bharuch,Link Road,4025064,940,2,,10,0,1,1
Bharuch,Zadeshwar,1957567,455,1,Fully Furnished,,0,0,1
Bharuch,Ankleshwar,3445100,809,2,Fully Furnished,,1,1,1
Bharuch,,6634646,,3,Semi-Furnished,,1,1,0
Bharuch,,5664962,1362,3,,,1,1,0
Bharuch,,2626425,613,1,,2,0,0,1
Bharuch,,3169355,755,2,,,0,1,1
Bharuch,Ankleshwar,3478596,,2,Unfurnished,,1,1,1
Bharuch,,2352406,558,1,Fully Furnished,1,0,1,1
Bharuch,Ankleshwar,6550741,,3,Unfurnished,2,1,0,1
Bharuch,Link Road,4742395,1137,2,,,1,0,0
Bharuch,Ankleshwar,2992422,698,1,,,1,0,0
Bharuch,Zadeshwar,6724085,1568,3,,2,1,1,0
Bharuch,Link Road,3796587,886,2,,,1,1,1
Bharuch,Ankleshwar,4299514,1004,2,Semi-Furnished,1,0,0,0
Bharuch,,5705164,1380,3,Unfurnished,10,0,1,0
Bharuch,,4771455,1130,2,,10,0,0,0
Bharuch,Link Road,1920522,459,1,Fully Furnished,2,1,0,0
Bharuch,,8262530,,3,Fully Furnished,,0,0,1
Bharuch,Zadeshwar,7692226,,3,Unfurnished,2,0,0,1
Bharuch,Link Road,2711482,646,1,,2,0,1,1
Bharuch,Link Road,2703379,637,1,Unfurnished,,1,0,1
Bharuch,Ankleshwar,7106748,1718,3,Fully Furnished,2,0,0,1
Bharuch,,6517747,,3,Fully Furnished,2,1,1,1
Bharuch,Ankleshwar,3910787,931,2,Unfurnished,1,1,0,0
Bharuch,,2482853,577,1,,10,1,1,1
Bharuch,Link Road,2621824,635,1,,,0,1,0
Bharuch,Zadeshwar,4817598,,3,Unfurnished,,1,0,1
Jamnagar,Patel Colony,7712390,1632,3,Semi-Furnished,5,0,1,1
Jamnagar,Gulab Nagar,2780284,591,1,,10,0,0,1
Jamnagar,Indira Marg,5372883,1153,3,Unfurnished,1,0,0,1
Jamnagar,Patel Colony,2247499,473,1,,,1,1,0
Jamnagar,Patel Colony,3223848,,1,Unfurnished,5,1,1,1
Jamnagar,Indira Marg,5534847,1176,2,Unfurnished,5,1,1,0
Jamnagar,Indira Marg,2209793,467,1,,,0,0,0
Jamnagar,Patel Colony,8878367,1847,3,,,1,1,0
Jamnagar,Patel Colony,2671309,554,1,Unfurnished,,0,1,1
Jamnagar,,5073701,1085,2,Unfurnished,1,1,0,0
Jamnagar,Gulab Nagar,5968209,,3,Fully Furnished,10,0,0,0
Jamnagar,Indira Marg,3452972,717,2,Unfurnished,10,0,1,1
Jamnagar,Indira Marg,4102660,865,2,Fully Furnished,1,0,1,0
Jamnagar,,2515341,,1,Fully Furnished,2,0,0,1
Jamnagar,Indira Marg,6856334,1412,3,,,0,0,0
Jamnagar,,8008356,,3,Fully Furnished,5,0,0,1
Jamnagar,Indira Marg,8622545,1789,3,,2,0,0,1
Jamnagar,Gulab Nagar,2221415,462,1,,,1,0,1
Jamnagar,Patel Colony,5479365,1129,2,Semi-Furnished,2,1,0,0
Jamnagar,Indira Marg,7191478,1548,3,,5,1,0,1
Jamnagar,,5564587,1184,3,,,0,1,0
Jamnagar,Patel Colony,2341774,500,1,,,0,1,1
Jamnagar,,6352630,1365,3,Semi-Furnished,5,1,0,1
Jamnagar,Gulab Nagar,5195973,1087,2,,,0,0,0
Jamnagar,,6255500,,3,Unfurnished,,0,1,1
Jamnagar,Indira Marg,5458465,1176,3,Unfurnished,,1,0,0
Jamnagar,,3395676,721,2,Fully Furnished,1,0,0,1
Jamnagar,Gulab Nagar,3157082,673,1,,,1,1,0
Jamnagar,Indira Marg,2314662,,1,,,1,0,0
Jamnagar,Gulab Nagar,6014920,1263,3,Semi-Furnished,1,1,1,1
Jamnagar,Gulab Nagar,3722946,,2,Semi-Furnished,5,0,1,0
Jamnagar,,4903454,1016,2,,10,0,1,0
Jamnagar,,6544326,1370,3,Unfurnished,,1,1,0
Jamnagar,,5471881,1141,2,Unfurnished,,1,1,1
Jamnagar,Gulab Nagar,4278881,884,2,,5,0,1,1
Jamnagar,Gulab Nagar,4401833,921,2,Unfurnished,1,0,1,0
Jamnagar,,7436788,1546,3,Unfurnished,5,0,0,0
Jamnagar,Patel Colony,5416762,1144,3,Unfurnished,5,0,0,0
Jamnagar,,5937422,1270,3,,,0,1,0
Jamnagar,Gulab Nagar,6894135,1435,3,Semi-Furnished,10,1,1,1
Jamnagar,Patel Colony,2907606,622,1,,10,1,0,0
Jamnagar,Patel Colony,3679564,765,2,,,1,0,1
Jamnagar,Gulab Nagar,7558534,1612,3,,,1,0,1
Jamnagar,Patel Colony,4817996,1029,2,,1,0,1,0
Jamnagar,Indira Marg,4819744,1002,2,Semi-Furnished,,1,0,1
Jamnagar,,3070538,642,1,Semi-Furnished,1,0,1,1
Jamnagar,Gulab Nagar,6498374,1383,3,Unfurnished,,0,1,1
Jamnagar,,4614336,,2,Unfurnished,1,0,1,1
Jamnagar,,6523908,1402,3,,10,1,0,0
Jamnagar,Gulab Nagar,4207191,890,2,Semi-Furnished,10,1,0,0
Jamnagar,Gulab Nagar,5329345,,2,,,0,0,0
Jamnagar,,3652315,,2,Semi-Furnished,5,0,0,0
Jamnagar,Gulab Nagar,2954523,614,1,Unfurnished,,1,0,0
Jamnagar,,3209031,669,1,Unfurnished,1,0,0,0
Jamnagar,,2345537,500,1,Semi-Furnished,,1,1,0
Jamnagar,Gulab Nagar,7885527,1670,3,,10,0,1,0
Jamnagar,Patel Colony,3131907,669,1,Semi-Furnished,,1,0,1
Jamnagar,Gulab Nagar,2458790,,1,Unfurnished,,1,1,0
Jamnagar,,3487610,744,2,,,0,1,0
Jamnagar,Indira Marg,2899169,611,1,,,1,1,1
Jamnagar,Patel Colony,3907183,839,2,Semi-Furnished,,1,1,1
Jamnagar,Indira Marg,4545578,975,2,Semi-Furnished,10,1,1,0
Jamnagar,Gulab Nagar,5510109,1151,2,Unfurnished,1,0,0,0
Jamnagar,,4021606,867,2,,,1,0,1
Jamnagar,Patel Colony,2565044,549,1,Semi-Furnished,,1,0,0
Jamnagar,Gulab Nagar,3332665,717,2,Fully Furnished,2,0,1,1
Jamnagar,Patel Colony,2998293,638,1,,1,0,0,0
Jamnagar,Gulab Nagar,2793774,583,1,,10,1,1,1
Jamnagar,Indira Marg,2809786,597,1,,,0,0,0
Jamnagar,Indira Marg,7063288,1511,3,Unfurnished,10,1,0,0
Jamnagar,,3328695,712,2,Semi-Furnished,10,1,1,1
Jamnagar,Patel Colony,5408573,1114,2,Fully Furnished,5,0,1,1
Jamnagar,Patel Colony,3762946,802,2,Unfurnished,1,0,1,0
Jamnagar,Gulab Nagar,9272871,1968,3,Unfurnished,2,1,1,1
Jamnagar,Indira Marg,3501945,745,2,,,0,0,1
Jamnagar,,5526456,1165,2,,,1,1,1
Jamnagar,Patel Colony,2509289,530,1,Unfurnished,,1,0,0
Jamnagar,,4193419,884,2,Fully Furnished,,1,1,1
Jamnagar,Gulab Nagar,3593369,755,2,,,0,1,0
Jamnagar,,4338372,907,2,Unfurnished,1,1,1,1
Jamnagar,,4482172,963,2,Fully Furnished,,1,0,0
Jamnagar,,2445355,519,1,Fully Furnished,1,1,0,1
Jamnagar,,5472680,1134,2,Semi-Furnished,10,1,0,0
Jamnagar,Gulab Nagar,4744996,977,2,Semi-Furnished,5,1,0,0
Jamnagar,,4689820,969,2,Fully Furnished,5,0,0,1
Jamnagar,Patel Colony,3133897,648,1,Unfurnished,,0,0,0
Jamnagar,Gulab Nagar,6133541,1268,3,,,0,1,0
Jamnagar,Indira Marg,2499662,,1,Unfurnished,1,1,1,1
Jamnagar,Patel Colony,5658564,,2,Semi-Furnished,2,1,0,0
Jamnagar,,4620628,955,2,,5,0,1,1
Jamnagar,,7612485,1609,3,,2,0,0,0
Jamnagar,,2855468,613,1,Unfurnished,,1,1,1
Jamnagar,,2150939,450,1,,,0,0,0
Jamnagar,Gulab Nagar,3225815,,1,Fully Furnished,,1,0,0
Jamnagar,,2132672,,1,Unfurnished,1,0,1,0
Jamnagar,Gulab Nagar,4483703,962,2,Semi-Furnished,,0,0,1
Jamnagar,,6617594,1404,3,Semi-Furnished,,0,1,1
Jamnagar,Gulab Nagar,2227390,,1,,,1,1,1
Jamnagar,Gulab Nagar,3103238,654,1,,,0,1,1
Jamnagar,Patel Colony,2457025,528,1,,2,0,1,0
Jamnagar,Indira Marg,2541909,535,1,Unfurnished,,1,1,0
Jamnagar,Gulab Nagar,5244515,1111,2,,1,1,0,0
Jamnagar,Gulab Nagar,3139533,656,1,Unfurnished,1,0,0,1
Jamnagar,Indira Marg,2274810,472,1,,,0,1,1
Jamnagar,Gulab Nagar,5590180,1164,3,,1,0,1,0
Junagadh,Joshipura,2322276,580,1,Semi-Furnished,5,1,1,0
Junagadh,Joshipura,3735963,953,2,,5,0,1,0
Junagadh,Madhuram,6375911,1568,3,Semi-Furnished,1,1,1,0
Junagadh,Kalva Chowk,2199709,,1,Semi-Furnished,,0,0,1
Junagadh,Kalva Chowk,3655102,,2,Fully Furnished,2,1,0,0
Junagadh,,2264957,566,1,,,0,0,1
Junagadh,,5883811,1452,3,Fully Furnished,,1,0,0
Junagadh,Joshipura,2292788,569,1,,2,0,1,0
Junagadh,,3916581,958,2,Semi-Furnished,1,1,0,1
Junagadh,Madhuram,3609359,907,2,Semi-Furnished,1,1,0,1
Junagadh,Joshipura,7561436,1845,3,Unfurnished,1,1,0,1
Junagadh,Joshipura,8075248,1985,3,,,1,1,1
Junagadh,,4706290,1165,3,Unfurnished,2,1,1,0
Junagadh,Joshipura,3854679,945,2,,,0,0,1
Junagadh,,2398283,596,1,,,0,0,1
Junagadh,,2262109,562,1,Unfurnished,,1,0,0
Junagadh,,3618525,,2,Unfurnished,1,0,0,1
Junagadh,Madhuram,5492941,1339,3,,2,0,0,1
Junagadh,,6232534,1539,3,Semi-Furnished,1,0,1,0
Junagadh,Kalva Chowk,1987952,487,1,,,0,0,1
Junagadh,Kalva Chowk,2531213,644,1,,2,1,1,0
Junagadh,Kalva Chowk,2486794,,1,Fully Furnished,,1,1,1
Junagadh,,3839421,955,2,Semi-Furnished,,0,0,1
Junagadh,Madhuram,7035897,1776,3,,,1,1,1
Junagadh,Madhuram,7634406,1904,3,,,0,0,0
Junagadh,,2861218,724,2,Fully Furnished,1,1,1,1
Junagadh,Madhuram,2651031,665,1,,,1,0,1
Junagadh,Madhuram,2720164,,1,,2,1,0,0
Junagadh,Joshipura,3115101,794,2,,,1,0,1
Junagadh,,2339790,590,1,Unfurnished,10,1,0,0
Junagadh,,6924030,1716,3,,,0,0,0
Junagadh,Madhuram,6697429,1700,3,Unfurnished,5,1,1,0
Junagadh,Madhuram,5390026,1356,3,Fully Furnished,5,1,1,1
Junagadh,,7985584,1966,3,,,0,1,1
Junagadh,Kalva Chowk,6986439,1713,3,,,0,0,0
Junagadh,,4178098,,2,Unfurnished,,1,0,0
Junagadh,Kalva Chowk,2657556,655,1,Unfurnished,,1,1,1
Junagadh,,3276943,802,2,Unfurnished,,0,1,0
Junagadh,Madhuram,2489893,628,1,,1,0,1,1
Junagadh,Kalva Chowk,1922002,490,1,Semi-Furnished,,1,0,1
Junagadh,,6637869,1650,3,Semi-Furnished,1,0,1,1
Junagadh,Madhuram,2066338,511,1,Semi-Furnished,2,1,0,1
Junagadh,Joshipura,3449549,881,2,Unfurnished,5,1,1,1
Junagadh,Kalva Chowk,3231098,799,2,Unfurnished,10,0,0,0
Junagadh,Joshipura,2190988,,1,Semi-Furnished,,1,0,1
Junagadh,Madhuram,7266585,1771,3,,2,1,1,1
Junagadh,,6724356,1646,3,Semi-Furnished,10,1,0,1
Junagadh,,3875363,954,2,,,1,1,1
Junagadh,,2957174,742,2,,1,1,0,1
Junagadh,Madhuram,3827982,964,2,Fully Furnished,5,0,0,0
Junagadh,Joshipura,3426840,843,2,,10,0,0,0
Junagadh,,2434094,606,1,Fully Furnished,,0,1,0
Junagadh,Madhuram,2101688,530,1,Fully Furnished,10,1,1,0
Junagadh,Joshipura,2381745,582,1,,,0,1,1
Junagadh,Madhuram,6905134,1698,3,Unfurnished,,0,1,1
Junagadh,Madhuram,2751911,682,1,Unfurnished,1,1,1,0
Junagadh,Joshipura,2691407,666,1,,2,0,0,1
Junagadh,Joshipura,6780450,1656,3,,,0,0,0
Junagadh,,5243919,1310,3,Unfurnished,10,1,0,1
Junagadh,,4120404,1012,2,Semi-Furnished,,1,1,1
Junagadh,,6730517,,3,Fully Furnished,,0,1,0
Junagadh,,4146088,,2,Semi-Furnished,10,1,1,1
Junagadh,,4516918,1109,3,Semi-Furnished,,0,1,0
Junagadh,Joshipura,4708823,1150,2,Unfurnished,,1,1,0
Junagadh,,3552870,867,2,,,0,1,1
Junagadh,Kalva Chowk,2313201,580,1,,10,1,0,0
Junagadh,,2211770,565,1,,2,1,0,0
Junagadh,Madhuram,6515274,1624,3,,5,1,0,0
Junagadh,Joshipura,2988067,736,2,,1,1,1,1
Junagadh,Joshipura,4821998,1179,2,Fully Furnished,1,0,1,0
Junagadh,,1860130,474,1,Fully Furnished,10,0,0,0
Junagadh,Kalva Chowk,5692253,1408,3,Semi-Furnished,1,0,1,1
Junagadh,,2906522,728,2,Unfurnished,,0,0,0
Junagadh,Joshipura,3169155,804,2,Fully Furnished,,1,1,1
Junagadh,,4551122,1118,2,,,1,1,1
Junagadh,Madhuram,6605043,1638,3,Unfurnished,2,1,1,1
Junagadh,,1866903,457,1,,2,0,0,1
Junagadh,Joshipura,2302579,586,1,,1,0,0,1
Junagadh,,2604697,650,1,,1,0,1,0
Junagadh,Joshipura,6882507,1711,3,Unfurnished,,0,0,0
Junagadh,Kalva Chowk,7129428,1807,3,Unfurnished,,0,1,0
Junagadh,Kalva Chowk,3202609,,2,,,1,1,0
Junagadh,Joshipura,6642803,,3,Semi-Furnished,,1,0,0
Junagadh,Joshipura,3123584,,2,Semi-Furnished,5,1,1,1
Junagadh,Joshipura,4897117,1249,3,,,0,0,0
Junagadh,Madhuram,2919424,727,2,,1,0,0,0
Junagadh,Madhuram,2616658,,1,Unfurnished,10,0,1,1
Junagadh,Kalva Chowk,3862546,950,2,Semi-Furnished,,0,0,1
Junagadh,,5870049,1448,3,Unfurnished,,0,1,0
Junagadh,Joshipura,1884411,478,1,,,0,0,0
Junagadh,Madhuram,5337637,,3,,2,1,0,1
Junagadh,,2223184,551,1,Unfurnished,,1,0,0
Junagadh,Madhuram,7077379,1729,3,Semi-Furnished,,0,0,0
Junagadh,Joshipura,2754609,,1,Semi-Furnished,10,0,0,0
Junagadh,Kalva Chowk,5899004,1491,3,Unfurnished,10,0,1,1
Junagadh,,4051451,1011,2,,,1,0,1
Junagadh,Kalva Chowk,2775791,696,1,Unfurnished,,0,0,0
Junagadh,Joshipura,3873336,978,2,Unfurnished,,0,1,1
Junagadh,Joshipura,3342458,846,2,,,1,0,0
Junagadh,,2612103,640,1,,10,1,0,0
Junagadh,Joshipura,1893005,477,1,,,0,0,0
Junagadh,Joshipura,2577293,631,1,Unfurnished,,1,1,0
Junagadh,Joshipura,4786083,1181,3,Unfurnished,10,1,0,0
Junagadh,Joshipura,4600604,,2,,,0,1,1
Junagadh,Madhuram,4280547,1075,2,Unfurnished,,0,0,1
Junagadh,,1953459,499,1,,,1,1,1
Junagadh,,6808047,1659,3,Fully Furnished,10,1,0,0
Junagadh,Kalva Chowk,2413871,597,1,,,1,0,0
Junagadh,,7904677,1936,3,Semi-Furnished,2,1,0,0
Junagadh,Madhuram,5019083,1266,3,,,0,1,0
Junagadh,,2312013,574,1,Semi-Furnished,,0,0,0
Junagadh,Madhuram,4939002,1214,3,Fully Furnished,5,0,0,0
